workerid,rt,trial_type,word,category,prevalence,salience,qud,stimtype,property,prevalenceFirst
2,6.351,generalization,generic,pangolins,0.91,0.66,property,novel,draug scales,1
2,5.855,generalization,generic,kazzes,0.9,0.57,property,novel,eina fur,1
2,7.687,generalization,generic,dorbs,0.98,0.38,category,novel,peredin spots,1
2,6.728,generalization,generic,sapers,0.87,0.72,property,novel,brith legs,1
2,5.313,generalization,generic,reesles,0.98,0.57,category,novel,tinco tails,1
2,5.407,generalization,generic,lorches,1,0.71,category,novel,drego skin,1
2,4.703,generalization,generic,morseths,1,0.58,category,novel,faroth shells,1
3,293.43,generalization,generic,sapers,0.97,0.87,property,novel,gwador stripes,1
3,10.361,generalization,generic,dorbs,0.88,0.92,property,novel,tinco tails,1
3,1.991,generalization,generic,feps,0.82,0.84,category,novel,drego skin,1
3,1.567,generalization,generic,blins,0.82,0.82,category,novel,faroth shells,1
3,7.799,generalization,generic,wugs,0.45,0.44,category,novel,draug scales,1
3,27.199,generalization,generic,javs,0.96,0.91,property,novel,bired teeth,1
3,1.719,generalization,generic,kweps,0.95,0.9,property,novel,eina fur,1
3,1.68,generalization,generic,mooks,0.94,0.88,category,novel,parma ears,1
3,1.912,generalization,generic,cheebas,0.93,0.9,category,novel,tengwa legs,1
3,8.904,generalization,generic,taifels,0.93,0.93,category,novel,carca scales,1
3,2.554,generalization,generic,moxes,0.94,0.9,property,novel,anga teeth,1
3,1.812,generalization,generic,plovs,0.93,0.82,category,novel,calen fur,1
3,3.55,generalization,generic,elleps,0.88,0.91,property,novel,nimdrin stripes,1
3,2.681,generalization,generic,lorches,0.91,0.82,property,novel,fustel skin,1
3,2.488,generalization,generic,trufts,0.9,0.85,property,novel,durk ears,1
3,2.432,generalization,generic,zoovs,0.83,0.79,category,novel,numen spots,1
4,30.651,generalization,generic,pangolins,0.99,1,property,novel,tinco tails,0
4,22.491,generalization,generic,kazzes,0.99,0.98,property,novel,draug scales,0
4,14.402,generalization,generic,zoovs,0.99,0.95,property,novel,brith legs,0
4,11.572,generalization,generic,taifels,0.99,0.96,category,novel,gwador stripes,0
4,17.817,generalization,generic,frams,0.86,0.84,category,novel,bired teeth,0
4,13.652,generalization,generic,dorbs,0.98,0.88,category,novel,parma ears,0
4,7.897,generalization,generic,luzaks,0.96,0.91,category,novel,eina fur,0
4,9.992,generalization,generic,plovs,0.99,0.73,property,novel,drego skin,0
4,25.888,generalization,generic,sapers,0.99,0.86,property,novel,numen spots,0
4,15.077,generalization,generic,thups,0.98,0.91,category,novel,durk ears,0
4,10.794,generalization,generic,glippets,0.99,0.82,property,novel,nimdrin stripes,0
4,29.418,generalization,generic,ackles,0.91,0.86,property,novel,fustel skin,0
4,37.266,generalization,generic,kweps,1,0.92,property,novel,daro feathers,0
4,6.491,generalization,generic,ollers,0.92,0.87,category,novel,carca scales,0
4,8.086,generalization,generic,trufts,0.95,0.87,category,novel,calen fur,0
4,7.032,generalization,generic,cheebas,0.97,0.98,category,novel,anga teeth,0
5,4.838,generalization,generic,krivels,0.52,0.51,property,novel,faroth shells,1
5,3.359,generalization,generic,cheebas,0.51,0.5,category,novel,parma ears,1
5,8.341,generalization,generic,glippets,1,0.5,category,novel,draug scales,1
5,5.097,generalization,generic,mooks,0.98,0.97,property,novel,peredin spots,1
5,4.336,generalization,generic,reesles,0.53,0.51,property,novel,gwador stripes,1
5,5.016,generalization,generic,thups,1,0.99,category,novel,tinco tails,1
5,2.032,generalization,generic,grinks,0.79,0.58,property,novel,eina fur,1
5,2.632,generalization,generic,frams,0.66,0.49,category,novel,drego skin,1
5,2.272,generalization,generic,stups,0.84,0.69,property,novel,valdra tails,1
5,2.207,generalization,generic,luzaks,0.8,0.64,category,novel,tengwa legs,1
5,2.832,generalization,generic,pangolins,0.67,0.58,category,novel,carca scales,1
5,2.184,generalization,generic,trufts,0.51,0.48,category,novel,numen spots,1
5,2.775,generalization,generic,moxes,0.97,0.96,property,novel,daro feathers,1
5,2.639,generalization,generic,elleps,0.93,0.79,property,novel,grith shells,1
5,15.004,generalization,generic,zorbs,0.88,0.51,property,novel,anga teeth,1
5,2.71,generalization,generic,wugs,0.78,0.56,category,novel,calen fur,1
6,23.557,generalization,generic,feps,1,0.88,category,novel,tinco tails,1
6,15.243,generalization,generic,thups,0.99,0.92,category,novel,brith legs,1
6,17.768,generalization,generic,daiths,1,0.34,property,novel,bired teeth,1
6,9.126,generalization,generic,lorches,1,0.81,category,novel,parma ears,1
6,9.859,generalization,generic,zorbs,1,0.87,category,novel,faroth shells,1
6,12.554,generalization,generic,glippets,1,0.37,property,novel,asca feathers,1
6,12.267,generalization,generic,luzaks,1,0.23,property,novel,drego skin,1
6,8.459,generalization,generic,dorbs,1,0.41,property,novel,eina fur,1
6,8.736,generalization,generic,blins,1,0.4,category,novel,carca scales,1
6,8.421,generalization,generic,sapers,0.99,0.44,property,novel,nimdrin stripes,1
6,25.746,generalization,generic,wugs,0.99,0.42,category,novel,numen spots,1
6,6.093,generalization,generic,pangolins,1,0.34,property,novel,tengwa legs,1
6,11.454,generalization,generic,elleps,0.99,0.38,property,novel,valdra tails,1
6,7.172,generalization,generic,mooks,1,0.83,category,novel,fustel skin,1
6,4.851,generalization,generic,plovs,1,0.41,category,novel,durk ears,1
6,9.913,generalization,generic,reesles,1,0.41,property,novel,anga teeth,1
7,29.361,generalization,generic,morseths,1,0.77,category,novel,calen fur,0
7,18.014,generalization,generic,ollers,0.76,0.33,property,novel,fustel skin,0
7,20.43,generalization,generic,zoovs,0.83,0.64,property,novel,anga teeth,0
7,12.129,generalization,generic,ackles,1,0.88,category,novel,grith shells,0
7,11.871,generalization,generic,plovs,0.83,0.36,property,novel,carca scales,0
7,7.345,generalization,generic,glippets,1,0.84,category,novel,nimdrin stripes,0
7,8.775,generalization,generic,kazzes,1,0.79,category,novel,valdra tails,0
7,10.748,generalization,generic,wugs,0.8,0.36,property,novel,numen spots,0
7,13.144,generalization,generic,thups,0.88,0.45,property,novel,drego skin,0
7,8.066,generalization,generic,mooks,1,0.93,category,novel,peredin spots,0
7,9.683,generalization,generic,elleps,1,0.81,category,novel,faroth shells,0
7,7.784,generalization,generic,kweps,1,0.88,category,novel,draug scales,0
7,14.783,generalization,generic,krivels,0.79,0.54,property,novel,eina fur,0
7,10.036,generalization,generic,frams,0.84,0.58,property,novel,gwador stripes,0
7,13.409,generalization,generic,stups,1,0.91,category,novel,bired teeth,0
7,7.224,generalization,generic,luzaks,0.82,0.59,property,novel,asca feathers,0
8,5.145,generalization,generic,plovs,1,1,category,novel,peredin spots,1
8,6.576,generalization,generic,lorches,0.99,1,category,novel,brith legs,1
8,9.526,generalization,generic,moxes,1,1,property,novel,tinco tails,1
8,7.166,generalization,generic,crullets,1,1,category,novel,faroth shells,1
8,5.32,generalization,generic,elleps,1,1,property,novel,draug scales,1
8,6.777,generalization,generic,ackles,1,1,property,novel,gwador stripes,1
8,5.679,generalization,generic,zorbs,1,1,property,novel,drego skin,1
8,6.217,generalization,generic,taifels,1,1,category,novel,eina fur,1
8,9.231,generalization,generic,morseths,1,1,category,novel,numen spots,1
8,5.105,generalization,generic,wugs,1,1,property,novel,carca scales,1
8,4.79,generalization,generic,trufts,1,1,category,novel,grith shells,1
8,5.831,generalization,generic,zoovs,1,1,property,novel,daro feathers,1
8,14.183,generalization,generic,krivels,1,1,property,novel,valdra tails,1
8,5.96,generalization,generic,grinks,1,1,category,novel,durk ears,1
8,5.215,generalization,generic,ollers,1,1,category,novel,nimdrin stripes,1
8,5.889,generalization,generic,glippets,1,1,property,novel,calen fur,1
9,27.104,generalization,generic,daiths,0.37,0.21,category,novel,bired teeth,0
9,22.74,generalization,generic,pangolins,0.29,0.16,property,novel,brith legs,0
9,10.403,generalization,generic,thups,0.21,0.4,category,novel,eina fur,0
9,8.624,generalization,generic,kazzes,0.14,0.14,category,novel,faroth shells,0
9,11.177,generalization,generic,zoovs,0.18,0.23,property,novel,draug scales,0
9,8.857,generalization,generic,elleps,0.11,0.2,category,novel,parma ears,0
9,7.285,generalization,generic,javs,0.2,0.39,property,novel,peredin spots,0
9,5.427,generalization,generic,reesles,0.17,0.43,property,novel,gwador stripes,0
9,6.074,generalization,generic,grinks,0.2,0.5,category,novel,nimdrin stripes,0
9,8.106,generalization,generic,ackles,0.1,0.62,property,novel,valdra tails,0
9,5.04,generalization,generic,dorbs,0.19,0.25,property,novel,durk ears,0
9,4.777,generalization,generic,blins,0.15,0.36,property,novel,tengwa legs,0
9,4.543,generalization,generic,cheebas,0.2,0.56,category,novel,daro feathers,0
9,4.225,generalization,generic,mooks,0.17,0.47,category,novel,fustel skin,0
9,4.952,generalization,generic,moxes,0.1,0.21,property,novel,grith shells,0
9,5.023,generalization,generic,kweps,0.08,0.14,category,novel,anga teeth,0
10,30.566,generalization,generic,moxes,0.97,0.84,property,novel,grith shells,0
10,20.062,generalization,generic,frams,0.73,0.76,category,novel,nimdrin stripes,0
10,19.375,generalization,generic,grinks,0.89,0.85,category,novel,daro feathers,0
10,10.216,generalization,generic,blins,0.8,0.67,property,novel,carca scales,0
10,9.824,generalization,generic,zorbs,0.91,0.64,property,novel,fustel skin,0
10,11.343,generalization,generic,krivels,0.82,0.72,category,novel,anga teeth,0
10,12.984,generalization,generic,ollers,1,0.97,category,novel,numen spots,0
10,7.511,generalization,generic,plovs,0.91,0.9,property,novel,valdra tails,0
10,4.408,generalization,generic,sapers,0.98,0.97,category,novel,asca feathers,0
10,15.368,generalization,generic,cheebas,0.87,0.8,property,novel,eina fur,0
10,6.993,generalization,generic,thups,0.89,0.86,category,novel,peredin spots,0
10,8.535,generalization,generic,lorches,0.81,0.68,property,novel,draug scales,0
10,11.688,generalization,generic,morseths,0.73,0.71,category,novel,gwador stripes,0
10,9.384,generalization,generic,luzaks,0.71,0.72,property,novel,faroth shells,0
10,8.141,generalization,generic,elleps,0.76,0.85,category,novel,drego skin,0
10,8.46,generalization,generic,pangolins,0.86,0.82,property,novel,brith legs,0
11,25.035,generalization,generic,ackles,0.88,0.7,category,novel,valdra tails,0
11,24.011,generalization,generic,glippets,0.96,0.47,category,novel,durk ears,0
11,24.698,generalization,generic,zorbs,0.93,1,property,novel,grith shells,0
11,12.134,generalization,generic,kazzes,0.94,0.71,property,novel,anga teeth,0
11,15.381,generalization,generic,moxes,0.78,0.52,property,novel,carca scales,0
11,19.997,generalization,generic,zoovs,0.55,0.12,property,novel,nimdrin stripes,0
11,10.734,generalization,generic,grinks,0.65,0.36,category,novel,daro feathers,0
11,13.148,generalization,generic,wugs,0.78,0.54,category,novel,tengwa legs,0
11,15.472,generalization,generic,elleps,0.72,0.32,category,novel,gwador stripes,0
11,10.903,generalization,generic,kweps,0.65,0.55,property,novel,bired teeth,0
11,8.774,generalization,generic,pangolins,0.52,0.6,property,novel,eina fur,0
11,13.133,generalization,generic,stups,0.66,0.34,property,novel,draug scales,0
11,7.974,generalization,generic,taifels,0.84,0.68,category,novel,tinco tails,0
11,6.375,generalization,generic,plovs,0.83,0.64,category,novel,faroth shells,0
11,13.308,generalization,generic,trufts,0.75,0.53,property,novel,parma ears,0
11,6.798,generalization,generic,javs,0.58,0.34,category,novel,asca feathers,0
12,34.425,generalization,generic,sapers,1,0.82,category,novel,grith shells,0
12,21.951,generalization,generic,crullets,0.52,0.35,category,novel,fustel skin,0
12,21.976,generalization,generic,pangolins,0.74,0.58,category,novel,carca scales,0
12,20.568,generalization,generic,morseths,0.76,0.76,property,novel,valdra tails,0
12,13.543,generalization,generic,daiths,1,1,property,novel,anga teeth,0
12,22.871,generalization,generic,ackles,0.77,0.19,category,novel,nimdrin stripes,0
12,10.816,generalization,generic,grinks,1,0.36,property,novel,durk ears,0
12,11.032,generalization,generic,plovs,0.83,0.71,property,novel,tengwa legs,0
12,16.247,generalization,generic,zoovs,0.53,0.13,category,novel,eina fur,0
12,8.503,generalization,generic,wugs,1,0.77,property,novel,draug scales,0
12,21.695,generalization,generic,dorbs,1,0.67,category,novel,bired teeth,0
12,11.175,generalization,generic,kweps,0.74,0.73,category,novel,parma ears,0
12,16.583,generalization,generic,trufts,0.57,0.15,property,novel,tinco tails,0
12,12.791,generalization,generic,luzaks,1,0.75,property,novel,asca feathers,0
12,13.664,generalization,generic,moxes,0.6,0.64,category,novel,faroth shells,0
12,24.535,generalization,generic,blins,0.7,0,property,novel,peredin spots,0
13,15.42,generalization,generic,kweps,1,0.51,category,novel,eina fur,1
13,12.346,generalization,generic,daiths,1,0.49,property,novel,faroth shells,1
13,10.452,generalization,generic,mooks,1,0.53,property,novel,gwador stripes,1
13,9.291,generalization,generic,glippets,1,0.37,category,novel,peredin spots,1
13,7.904,generalization,generic,stups,1,0.71,property,novel,brith legs,1
13,16.597,generalization,generic,morseths,1,0.68,category,novel,asca feathers,1
13,8.895,generalization,generic,crullets,1,0.56,category,novel,bired teeth,1
13,11.583,generalization,generic,thups,1,0.73,property,novel,tinco tails,1
13,8.4,generalization,generic,pangolins,1,0.44,property,novel,daro feathers,1
13,5.949,generalization,generic,ackles,1,0.7,property,novel,carca scales,1
13,10.085,generalization,generic,reesles,1,0.39,category,novel,numen spots,1
13,3.944,generalization,generic,zoovs,1,0.51,property,novel,calen fur,1
13,4.34,generalization,generic,krivels,1,0.33,category,novel,nimdrin stripes,1
13,6.51,generalization,generic,plovs,1,0.51,category,novel,durk ears,1
13,6.271,generalization,generic,blins,1,0.68,category,novel,valdra tails,1
13,5.327,generalization,generic,lorches,1,0.63,property,novel,tengwa legs,1
14,46.032,generalization,generic,cheebas,0.94,0.95,category,novel,numen spots,1
14,30.455,generalization,generic,reesles,0.89,0.85,property,novel,fustel skin,1
14,16.162,generalization,generic,lorches,1,0.97,property,novel,daro feathers,1
14,22.452,generalization,generic,glippets,0.95,1,property,novel,nimdrin stripes,1
14,24.398,generalization,generic,ackles,1,0.95,category,novel,valdra tails,1
14,28.174,generalization,generic,grinks,1,0.95,category,novel,tengwa legs,1
14,11.738,generalization,generic,trufts,1,0.92,category,novel,durk ears,1
14,22.915,generalization,generic,javs,0.93,0.89,property,novel,calen fur,1
14,12.647,generalization,generic,plovs,1,0.98,category,novel,bired teeth,1
14,7.744,generalization,generic,thups,1,0.94,category,novel,drego skin,1
14,8.079,generalization,generic,daiths,0.96,0.91,category,novel,asca feathers,1
14,14.239,generalization,generic,dorbs,1,1,property,novel,faroth shells,1
14,12.202,generalization,generic,morseths,0.96,1,property,novel,peredin spots,1
14,13.988,generalization,generic,luzaks,1,0.96,category,novel,brith legs,1
14,9.752,generalization,generic,zoovs,0.97,0.92,property,novel,gwador stripes,1
14,13.728,generalization,generic,krivels,1,0.96,property,novel,tinco tails,1
15,37.217,generalization,generic,wugs,1,0.32,property,novel,parma ears,1
15,39.441,generalization,generic,morseths,0.74,0.25,property,novel,peredin spots,1
15,20.355,generalization,generic,kazzes,1,0.76,category,novel,eina fur,1
15,17.437,generalization,generic,crullets,1,0.48,property,novel,tinco tails,1
15,22.02,generalization,generic,moxes,1,0.81,category,novel,draug scales,1
15,15.692,generalization,generic,trufts,0.82,0.52,property,novel,gwador stripes,1
15,20.445,generalization,generic,ackles,1,0.75,category,novel,faroth shells,1
15,8.845,generalization,generic,feps,1,0.81,category,novel,drego skin,1
15,10.951,generalization,generic,javs,1,0.8,category,novel,valdra tails,1
15,16.039,generalization,generic,pangolins,1,0.83,property,novel,tengwa legs,1
15,9.995,generalization,generic,elleps,1,0.81,category,novel,carca scales,1
15,8.194,generalization,generic,thups,1,1,category,novel,anga teeth,1
15,12.928,generalization,generic,frams,0.81,0.56,property,novel,numen spots,1
15,13.684,generalization,generic,taifels,0.82,0.6,property,novel,calen fur,1
15,10.191,generalization,generic,grinks,1,0.82,property,novel,durk ears,1
15,8.4,generalization,generic,plovs,0.8,0.51,category,novel,nimdrin stripes,1
16,14.942,generalization,generic,wugs,0.67,0.73,category,novel,faroth shells,0
16,11.68,generalization,generic,krivels,0.85,0.65,category,novel,tinco tails,0
16,3.705,generalization,generic,reesles,0.71,0.62,property,novel,bired teeth,0
16,3.209,generalization,generic,glippets,0.61,0.5,category,novel,peredin spots,0
16,3.792,generalization,generic,zorbs,0.51,0.58,property,novel,asca feathers,0
16,8.766,generalization,generic,crullets,0.18,0.23,property,novel,parma ears,0
16,2.908,generalization,generic,pangolins,0.32,0.34,property,novel,draug scales,0
16,3.021,generalization,generic,mooks,0.73,0.65,category,novel,eina fur,0
16,5.089,generalization,generic,elleps,0.73,0.64,property,novel,nimdrin stripes,0
16,18.088,generalization,generic,blins,0.78,0.75,property,novel,numen spots,0
16,3.291,generalization,generic,ackles,0.79,0.89,category,novel,fustel skin,0
16,4.317,generalization,generic,trufts,0.74,0.69,property,novel,tengwa legs,0
16,4.366,generalization,generic,kweps,0.27,0.22,property,novel,calen fur,0
16,13.978,generalization,generic,morseths,0.56,0.43,category,novel,daro feathers,0
16,3.16,generalization,generic,luzaks,0.68,0.68,category,novel,anga teeth,0
16,4.283,generalization,generic,lorches,0.74,0.76,category,novel,carca scales,0
17,30.236,generalization,generic,ackles,0.99,0.95,category,novel,peredin spots,0
17,33.104,generalization,generic,wugs,1,0.85,property,novel,gwador stripes,0
17,37.132,generalization,generic,moxes,1,1,property,novel,brith legs,0
17,11.234,generalization,generic,plovs,0.94,1,property,novel,bired teeth,0
17,9.289,generalization,generic,stups,0.98,0.87,category,novel,asca feathers,0
17,10.867,generalization,generic,lorches,0.75,1,category,novel,eina fur,0
17,4.475,generalization,generic,kweps,0.56,1,category,novel,tinco tails,0
17,11.541,generalization,generic,javs,1,1,property,novel,parma ears,0
17,10.424,generalization,generic,dorbs,1,0.87,property,novel,numen spots,0
17,5.161,generalization,generic,daiths,1,1,category,novel,carca scales,0
17,6.421,generalization,generic,thups,0.98,0.82,category,novel,nimdrin stripes,0
17,5.478,generalization,generic,taifels,0.79,1,category,novel,tengwa legs,0
17,6.416,generalization,generic,zoovs,1,1,property,novel,fustel skin,0
17,4.34,generalization,generic,sapers,0.77,1,property,novel,anga teeth,0
17,5.591,generalization,generic,frams,0.84,1,property,novel,durk ears,0
17,6.447,generalization,generic,elleps,0.93,1,category,novel,daro feathers,0
18,46.661,generalization,generic,glippets,0.98,0.88,category,novel,faroth shells,1
18,18.823,generalization,generic,dorbs,0.97,0.89,category,novel,eina fur,1
18,28.655,generalization,generic,luzaks,0.99,0.6,category,novel,peredin spots,1
18,34.855,generalization,generic,reesles,0.96,0.72,property,novel,parma ears,1
18,17.415,generalization,generic,trufts,0.98,0.84,property,novel,brith legs,1
18,20.232,generalization,generic,sapers,0.99,0.92,category,novel,bired teeth,1
18,14.215,generalization,generic,crullets,0.99,0.88,property,novel,asca feathers,1
18,15.335,generalization,generic,blins,0.98,0.69,property,novel,tinco tails,1
18,14.776,generalization,generic,plovs,0.99,0.81,category,novel,carca scales,1
18,14.759,generalization,generic,frams,0.99,0.5,property,novel,durk ears,1
18,11.544,generalization,generic,taifels,0.98,0.19,property,novel,numen spots,1
18,10.838,generalization,generic,mooks,0.97,0.85,category,novel,anga teeth,1
18,11.895,generalization,generic,kazzes,0.99,0.48,category,novel,valdra tails,1
18,9.615,generalization,generic,zorbs,0.98,0.79,category,novel,fustel skin,1
18,19.167,generalization,generic,lorches,0.98,0.1,property,novel,nimdrin stripes,1
18,12.512,generalization,generic,pangolins,0.97,0.58,property,novel,daro feathers,1
19,28.629,generalization,generic,javs,0.35,0.49,category,novel,drego skin,1
19,16.81,generalization,generic,blins,0.59,0.79,category,novel,gwador stripes,1
19,14.849,generalization,generic,zoovs,0.62,0.82,category,novel,asca feathers,1
19,9.277,generalization,generic,luzaks,0.43,0.36,property,novel,parma ears,1
19,20.626,generalization,generic,grinks,0.51,0.84,property,novel,brith legs,1
19,10.444,generalization,generic,plovs,1,0.83,property,novel,bired teeth,1
19,7.127,generalization,generic,thups,0.54,0.91,property,novel,faroth shells,1
19,10.096,generalization,generic,sapers,1,0.67,category,novel,draug scales,1
19,5.874,generalization,generic,zorbs,0.72,0.97,category,novel,tengwa legs,1
19,6.27,generalization,generic,ackles,0.45,0.48,property,novel,calen fur,1
19,6.196,generalization,generic,stups,0.96,0.25,category,novel,numen spots,1
19,9.857,generalization,generic,lorches,0.98,0.99,category,novel,carca scales,1
19,5.955,generalization,generic,daiths,0.36,0.6,property,novel,daro feathers,1
19,6.697,generalization,generic,reesles,0.49,0.93,property,novel,valdra tails,1
19,9.804,generalization,generic,feps,0.98,0.88,category,novel,grith shells,1
19,8.535,generalization,generic,cheebas,0.39,0.6,property,novel,nimdrin stripes,1
20,40.636,generalization,generic,reesles,0.94,0.72,property,novel,numen spots,0
20,10.135,generalization,generic,ackles,0.99,0.99,property,novel,anga teeth,0
20,11.509,generalization,generic,javs,0.99,0.8,category,novel,calen fur,0
20,16.223,generalization,generic,dorbs,0.98,0.59,property,novel,nimdrin stripes,0
20,10.782,generalization,generic,kazzes,1,0.99,category,novel,carca scales,0
20,12.135,generalization,generic,kweps,0.96,0.9,property,novel,daro feathers,0
20,6.02,generalization,generic,elleps,0.99,1,category,novel,valdra tails,0
20,5.971,generalization,generic,luzaks,0.99,0.99,category,novel,durk ears,0
20,5.968,generalization,generic,zorbs,0.91,0.83,property,novel,eina fur,0
20,3.805,generalization,generic,krivels,0.9,0.87,property,novel,asca feathers,0
20,4.097,generalization,generic,mooks,0.99,0.88,property,novel,parma ears,0
20,3.327,generalization,generic,moxes,0.98,0.99,category,novel,bired teeth,0
20,3.969,generalization,generic,plovs,1,0.99,category,novel,brith legs,0
20,3.52,generalization,generic,morseths,0.98,0.99,category,novel,drego skin,0
20,6.307,generalization,generic,pangolins,0.98,0.72,category,novel,tinco tails,0
20,5.854,generalization,generic,crullets,0.98,0.85,property,novel,faroth shells,0
21,31.134,generalization,generic,lorches,0.55,1,property,novel,tengwa legs,1
21,26.905,generalization,generic,stups,0.98,0.91,category,novel,nimdrin stripes,1
21,30.399,generalization,generic,kweps,0.99,1,category,novel,numen spots,1
21,15.808,generalization,generic,pangolins,1,0.98,property,novel,daro feathers,1
21,6.297,generalization,generic,blins,1,0.99,property,novel,fustel skin,1
21,7.763,generalization,generic,mooks,0.99,1,category,novel,anga teeth,1
21,6.298,generalization,generic,daiths,0.98,0.98,category,novel,valdra tails,1
21,8.107,generalization,generic,frams,0.96,0.99,property,novel,grith shells,1
21,4.469,generalization,generic,trufts,1,0.98,category,novel,gwador stripes,1
21,7.047,generalization,generic,feps,0.96,0.97,category,novel,asca feathers,1
21,4.958,generalization,generic,taifels,0.98,0.98,property,novel,tinco tails,1
21,6.909,generalization,generic,javs,0.99,0.98,property,novel,faroth shells,1
21,4.29,generalization,generic,thups,0.99,0.99,property,novel,drego skin,1
21,13.667,generalization,generic,cheebas,0.99,0.45,category,novel,peredin spots,1
21,9.943,generalization,generic,reesles,0.98,0.37,category,novel,bired teeth,1
21,6.157,generalization,generic,morseths,0.99,0.99,property,novel,parma ears,1
22,58.617,generalization,generic,daiths,1,0.9,property,novel,drego skin,1
22,33.784,generalization,generic,elleps,0.99,0.97,category,novel,gwador stripes,1
22,25.223,generalization,generic,stups,0.63,0.78,category,novel,parma ears,1
22,27.77,generalization,generic,morseths,1,0.86,category,novel,tinco tails,1
22,24.605,generalization,generic,taifels,1,0.83,category,novel,bired teeth,1
22,13.783,generalization,generic,frams,0.97,0.86,property,novel,eina fur,1
22,11.133,generalization,generic,dorbs,0.95,0.89,property,novel,peredin spots,1
22,13.744,generalization,generic,pangolins,0.99,0.91,property,novel,asca feathers,1
22,10.049,generalization,generic,zoovs,0.8,0.76,category,novel,numen spots,1
22,6.793,generalization,generic,lorches,0.94,0.86,category,novel,fustel skin,1
22,6.891,generalization,generic,wugs,0.99,0.87,category,novel,grith shells,1
22,13.273,generalization,generic,ackles,0.75,0.84,property,novel,carca scales,1
22,10.801,generalization,generic,feps,0.72,0.81,property,novel,tengwa legs,1
22,7.065,generalization,generic,blins,0.98,0.9,category,novel,nimdrin stripes,1
22,5.837,generalization,generic,trufts,0.84,0.87,property,novel,calen fur,1
22,9.231,generalization,generic,zorbs,0.7,0.75,property,novel,anga teeth,1
23,31.811,generalization,generic,krivels,0.28,0.98,property,novel,tinco tails,1
23,13.581,generalization,generic,trufts,0.56,0.99,category,novel,eina fur,1
23,14.517,generalization,generic,moxes,0.36,0.99,property,novel,bired teeth,1
23,36.281,generalization,generic,crullets,0.98,0.99,category,novel,brith legs,1
23,34.531,generalization,generic,mooks,0.98,0.98,category,novel,gwador stripes,1
23,13.842,generalization,generic,glippets,0.99,0.99,property,novel,faroth shells,1
23,10.103,generalization,generic,taifels,0.98,0.99,property,novel,draug scales,1
23,15.638,generalization,generic,javs,0.99,0.99,category,novel,parma ears,1
