workerid	rt	trial_type	stim_type	stim_part	stim_determiner	trialNum	stim_color	stim_prevalence	response	stim_category
10	1965	truth_conditions	bare	tails	generic	14	orange	70	True	zorbs
10	2234	truth_conditions	bare	teeth	generic	15	pink	30	False	krivels
10	1954	truth_conditions	distinct	shells	generic	16	orange	90	True	luzaks
10	1567	truth_conditions	bare	spots	generic	17	copper	50	True	glippets
10	2388	truth_conditions	bare	ears	generic	18	blue	70	True	cheebas
10	3868	truth_conditions	distinct	ears	generic	19	pink	70	True	elleps
10	2420	truth_conditions	irrelevant	fur	generic	20	copper	90	True	kweps
10	2618	truth_conditions	irrelevant	spots	generic	21	gold	50	True	stups
10	2385	truth_conditions	distinct	scales	generic	22	blue	70	True	reesles
10	1937	truth_conditions	irrelevant	teeth	generic	23	blue	70	True	thups
10	1550	truth_conditions	bare	stripes	generic	24	gold	50	True	daiths
10	1836	truth_conditions	bare	feathers	generic	25	purple	30	False	lorches
10	2233	truth_conditions	irrelevant	scales	generic	26	yellow	30	False	dorbs
10	1436	truth_conditions	distinct	feathers	generic	27	gold	50	True	plovs
10	1502	truth_conditions	irrelevant	feathers	generic	28	red	90	True	noobs
10	1349	truth_conditions	distinct	stripes	generic	29	copper	10	False	mooks
11	6193	truth_conditions	bare	fur	generic	0	silver	90	True	morseths
11	6260	truth_conditions	distinct	ears	generic	1	pink	10	False	elleps
11	5514	truth_conditions	bare	feathers	generic	2	purple	70	True	lorches
11	3438	truth_conditions	distinct	teeth	generic	3	green	90	True	zoovs
11	3036	truth_conditions	distinct	shells	generic	4	orange	70	True	luzaks
11	2038	truth_conditions	bare	teeth	generic	5	pink	10	False	krivels
11	4186	truth_conditions	irrelevant	fur	generic	6	copper	50	True	kweps
11	1795	truth_conditions	irrelevant	ears	generic	7	orange	50	True	kazzes
11	2169	truth_conditions	distinct	tails	generic	8	purple	30	False	taifels
11	2652	truth_conditions	irrelevant	teeth	generic	9	blue	70	False	thups
11	2643	truth_conditions	distinct	stripes	generic	10	copper	70	True	mooks
11	3057	truth_conditions	irrelevant	stripes	generic	11	silver	30	False	frams
11	2701	truth_conditions	distinct	scales	generic	12	blue	50	True	reesles
11	2039	truth_conditions	irrelevant	scales	generic	13	yellow	10	False	dorbs
11	2106	truth_conditions	irrelevant	shells	generic	14	purple	70	True	javs
11	1855	truth_conditions	bare	stripes	generic	15	gold	50	True	daiths
11	2431	truth_conditions	bare	shells	generic	16	green	30	False	moxes
11	2229	truth_conditions	irrelevant	tails	generic	17	green	10	False	trufts
11	1805	truth_conditions	irrelevant	legs	generic	18	pink	90	True	feps
11	4553	truth_conditions	bare	scales	generic	19	red	10	False	blins
11	4024	truth_conditions	bare	legs	generic	20	yellow	30	False	ludinos
11	1937	truth_conditions	distinct	feathers	generic	21	gold	90	True	plovs
11	2793	truth_conditions	irrelevant	feathers	generic	22	red	90	True	noobs
11	2441	truth_conditions	irrelevant	spots	generic	23	gold	30	False	stups
11	1926	truth_conditions	distinct	legs	generic	24	silver	50	True	ackles
11	2270	truth_conditions	bare	tails	generic	25	orange	50	True	zorbs
11	2048	truth_conditions	bare	ears	generic	26	blue	70	True	cheebas
11	3095	truth_conditions	distinct	spots	generic	27	red	30	False	sapers
11	1979	truth_conditions	distinct	fur	generic	28	yellow	10	False	ollers
11	3013	truth_conditions	bare	spots	generic	29	copper	90	True	glippets
12	29611	truth_conditions	bare	stripes	generic	0	gold	90	True	daiths
12	5801	truth_conditions	irrelevant	spots	generic	1	gold	30	False	stups
12	8570	truth_conditions	distinct	teeth	generic	2	green	30	False	zoovs
12	5121	truth_conditions	distinct	feathers	generic	3	gold	30	False	plovs
12	4441	truth_conditions	distinct	stripes	generic	4	copper	10	False	mooks
12	3549	truth_conditions	bare	tails	generic	5	orange	30	False	zorbs
12	5112	truth_conditions	irrelevant	tails	generic	6	green	50	True	trufts
12	3807	truth_conditions	irrelevant	legs	generic	7	pink	90	True	feps
12	4648	truth_conditions	irrelevant	ears	generic	8	orange	10	False	kazzes
12	4323	truth_conditions	distinct	fur	generic	9	yellow	70	True	ollers
12	4402	truth_conditions	irrelevant	stripes	generic	10	silver	50	True	frams
12	4016	truth_conditions	irrelevant	feathers	generic	11	red	30	False	noobs
12	2535	truth_conditions	bare	scales	generic	12	red	70	True	blins
12	3953	truth_conditions	bare	teeth	generic	13	pink	10	False	krivels
12	2388	truth_conditions	bare	feathers	generic	14	purple	90	True	lorches
12	4033	truth_conditions	irrelevant	fur	generic	15	copper	10	False	kweps
12	2284	truth_conditions	bare	ears	generic	16	blue	10	False	cheebas
12	1917	truth_conditions	bare	legs	generic	17	yellow	50	True	ludinos
12	2711	truth_conditions	irrelevant	teeth	generic	18	blue	70	True	thups
12	3687	truth_conditions	irrelevant	shells	generic	19	purple	90	True	javs
12	3631	truth_conditions	distinct	ears	generic	20	pink	90	True	elleps
12	4263	truth_conditions	irrelevant	scales	generic	21	yellow	70	True	dorbs
12	5179	truth_conditions	distinct	tails	generic	22	purple	50	True	taifels
