workerid,bin_00,trial_type,binOrder,bin_30,bin_20,bin_90,color,bin_70,bin_60,trialNum,bin_10,bin_50,bin_40,context,bin_80,part,rt,category
7,0.66,binnedHistogram,lo2hi,0.4,0.47,0.01,gold,0.17,0.22,4,0.55,0.28,0.31,danger-distinct,0,spots,33591,stups
7,0.94,binnedHistogram,lo2hi,0.58,0.65,0.02,copper,0.11,0.13,5,0.75,0.18,0.48,danger-distinct,0.03,stripes,61424,mooks
7,0.34,binnedHistogram,lo2hi,0.52,0.4,0.31,purple,0.52,0.63,6,0.38,0.67,0.6,nondistinctive,0.45,tails,18736,taifels
7,0.1,binnedHistogram,lo2hi,0.51,0.43,0.19,pink,0.35,0.56,7,0.31,0.67,0.59,nondistinctive,0.2,legs,16216,feps
7,0.19,binnedHistogram,lo2hi,0.46,0.42,0.27,silver,0.44,0.61,8,0.38,0.67,0.6,nondistinctive,0.41,legs,23863,ackles
7,0.2,binnedHistogram,lo2hi,0.52,0.3,0.11,green,0.29,0.36,9,0.29,0.5,0.58,bare,0.19,shells,61768,moxes
7,0.8,binnedHistogram,lo2hi,0.48,0.59,0.07,blue,0.24,0.27,10,0.68,0.32,0.37,danger-distinct,0.15,teeth,23024,thups
7,0.37,binnedHistogram,lo2hi,0.71,0.6,0.1,silver,0.19,0.27,11,0.5,0.32,0.45,bare,0.12,fur,17720,morseths
8,0.13,binnedHistogram,lo2hi,0.27,0.21,0.26,gold,0.25,0.43,0,0.21,0.24,0.26,danger-distinct,0.25,stripes,34266,daiths
8,0.03,binnedHistogram,lo2hi,0.03,0.02,0.05,red,0.04,0.02,1,0.01,0.63,0.04,danger-distinct,0.01,feathers,23830,noobs
8,0,binnedHistogram,lo2hi,0.01,0,0,purple,0,0,2,0,0,0.51,nondistinctive,0,tails,31160,taifels
8,0,binnedHistogram,lo2hi,0.36,0,0,green,0,0,3,0,0,0,bare,0,tails,26323,trufts
8,0,binnedHistogram,lo2hi,0,0,0,red,0,0.53,4,0,0,0,nondistinctive,0,spots,34748,sapers
8,0,binnedHistogram,lo2hi,0,0.36,0,orange,0,0,5,0,0,0,bare,0,tails,21763,zorbs
8,0,binnedHistogram,lo2hi,0,0,0,pink,0,0,6,0.38,0,0,nondistinctive,0,ears,22798,elleps
8,0,binnedHistogram,lo2hi,0,0,0,blue,0,0.62,7,0,0,0,nondistinctive,0,scales,28591,reesles
8,0,binnedHistogram,lo2hi,0.11,0,0.1,yellow,0,0.66,8,0,0.1,0.1,danger-distinct,0.05,legs,16608,ludinos
