Category,Measure,g,d,a,b,Probability
fungus-covered fur,within,0.8766509960405529,0.9868422290310264,0.8651162230149286,0.12172600601609772,0.001899999999999999
fungus-covered fur,within,0.7420941861346364,0.9868422290310264,0.73232988079607,0.2545123482349564,0.0024
fungus-covered fur,within,0.8283643967006356,0.9868422290310264,0.8174649676899965,0.1693772613410298,0.002999999999999998
fungus-covered fur,within,0.8462972606066614,0.9868422290310264,0.8351618750799292,0.15168035395109716,0.0005999999999999994
fungus-covered fur,within,0.8164961526636034,0.9868422290310264,0.8057528832898075,0.18108934574121877,0.00030000000000000024
fungus-covered fur,within,0.7923111377749592,0.9868422290310264,0.7818860892879493,0.204956139743077,0.004199999999999997
fungus-covered fur,within,0.8385517857968807,0.9868422290310264,0.8275183134537415,0.15932391557728484,0.0004999999999999998
fungus-covered fur,within,0.7902122286614031,0.9868422290310264,0.7798147971397941,0.20702743189123227,0.003099999999999999
fungus-covered fur,within,0.8152764167170972,0.9868422290310264,0.804549196349528,0.18229303268149827,0.0008
fungus-covered fur,within,0.7832676419056952,0.9868422290310264,0.772961585666092,0.21388064336493437,0.003099999999999999
fungus-covered fur,within,0.7753550307825208,0.9868422290310264,0.7651530868678429,0.2216891421631835,0.0009999999999999996
fungus-covered fur,within,0.7535391489509493,0.9868422290310264,0.7436242534128974,0.24321797561812897,0.0005999999999999994
fungus-covered fur,within,0.8313518145587295,0.9868422290310264,0.8204130777881251,0.16642915124290125,0.0027000000000000006
fungus-covered fur,within,0.7853890424594283,0.9868422290310264,0.7750550733172057,0.21178715571382073,0.004199999999999997
fungus-covered fur,within,0.7969395588152111,0.9868422290310264,0.7864536106242056,0.20038861840682073,0.004399999999999999
fungus-covered fur,within,0.7934873977210373,0.9868422290310264,0.783046872275057,0.2037953567559694,0.0004999999999999998
fungus-covered fur,within,0.7070562473963946,0.9868422290310264,0.6977529632309709,0.28908926580005545,0.0008
fungus-covered fur,within,0.8538798813242465,0.9868422290310264,0.8426447254107677,0.14419750362025865,0.001899999999999999
fungus-covered fur,within,0.7970940123777837,0.9868422290310264,0.7866060319221766,0.20023619710884982,0.0032
fungus-covered fur,within,0.7467073400039226,0.9868422290310264,0.7368823358432994,0.24995989318772693,0.0021999999999999997
fungus-covered fur,within,0.8173189300578088,0.9868422290310264,0.8065648347675015,0.18027739426352485,0.0028999999999999994
fungus-covered fur,within,0.8384935026988387,0.9868422290310264,0.8274607972313549,0.15938143179967146,0.0010999999999999998
fungus-covered fur,within,0.8481107864063233,0.9868422290310264,0.8369515389224728,0.14989069010855358,0.00030000000000000024
fungus-covered fur,within,0.745330594247207,0.9868422290310264,0.7355237049919333,0.2513185240390931,0.0016
fungus-covered fur,within,0.8071789536625147,0.9868422290310264,0.7965582778592475,0.19028395117177882,0.0012999999999999993
fungus-covered fur,within,0.8015646177809685,0.9868422290310264,0.7910178141233737,0.1958244149076527,0.0021999999999999997
fungus-covered fur,within,0.7824466542806476,0.9868422290310264,0.7721514004081832,0.2146908286228432,0.0010999999999999998
fungus-covered fur,within,0.7716963922139257,0.9868422290310264,0.7615425878275917,0.22529964120343474,0.001899999999999999
fungus-covered fur,within,0.823086854070425,0.9868422290310264,0.8122568657569934,0.174585363274033,0.004600000000000001
fungus-covered fur,within,0.7939072239678353,0.9868422290310264,0.7834611745442529,0.2033810544867735,0.006599999999999997
fungus-covered fur,within,0.7767426921054721,0.9868422290310264,0.7665224896609243,0.22031973937010207,0.0017999999999999993
fungus-covered fur,within,0.7794434656389058,0.9868422290310264,0.769187727034766,0.2176545019962604,0.00030000000000000024
fungus-covered fur,within,0.7639791811816394,0.9868422290310264,0.7539269180905874,0.23291531094043896,0.0004
fungus-covered fur,within,0.7725637326948345,0.9868422290310264,0.7623985160411004,0.22444371298992588,0.0017999999999999993
fungus-covered fur,within,0.733231897233054,0.9868422290310264,0.7235841998621155,0.26325802916891083,0.0011999999999999988
fungus-covered fur,within,0.8524261843413115,0.9868422290310264,0.8412101558397924,0.14563207319123397,0.0057
fungus-covered fur,within,0.849267371930182,0.9868422290310264,0.8380929063589025,0.14874932267212387,0.0004999999999999998
fungus-covered fur,within,0.7723331118468195,0.9868422290310264,0.7621709296493844,0.224671299381642,0.0004
fungus-covered fur,within,0.8175242755096406,0.9868422290310264,0.8067674783309087,0.18007475070011775,0.0009999999999999996
fungus-covered fur,within,0.7776815367396921,0.9868422290310264,0.7674489811924717,0.2193932478385546,0.0032
fungus-covered fur,within,0.7936843752395362,0.9868422290310264,0.7832412580084814,0.20360097102254496,0.002999999999999998
fungus-covered fur,within,0.8343581049703062,0.9868422290310264,0.823379812119,0.16346241691202637,0.005299999999999995
fungus-covered fur,within,0.7609295307192951,0.9868422290310264,0.750917394230562,0.2359248348004643,0.0010999999999999998
fungus-covered fur,within,0.770288911415264,0.9868422290310264,0.7601536263389219,0.22668860269210442,0.00019999999999999985
fungus-covered fur,within,0.744317312259227,0.9868422290310264,0.7345237555362781,0.2523184734947483,0.0001000000000000001
fungus-covered fur,within,0.7441279368940741,0.9868422290310264,0.734336871928807,0.2525053571022194,0.0015000000000000002
fungus-covered fur,within,0.8640210540033877,0.9868422290310264,0.8526524628624399,0.13418976616858644,0.0005999999999999994
fungus-covered fur,within,0.7237559591885656,0.9868422290310264,0.7142329440401326,0.2726092849908937,0.0035999999999999986
fungus-covered fur,within,0.75300278281793,0.9868422290310264,0.7430949446626118,0.2437472843684145,0.0014000000000000006
fungus-covered fur,within,0.8642906588502228,0.9868422290310264,0.8529185203104482,0.1339237087205781,0.00019999999999999985
fungus-covered fur,within,0.8644006757531315,0.9868422290310264,0.8530270896361457,0.1338151393948806,0.0006999999999999997
fungus-covered fur,within,0.775934393517673,0.9868422290310264,0.765724826480818,0.22111740255020834,0.0004
fungus-covered fur,within,0.8648472325876355,0.9868422290310264,0.8534677707780968,0.13337445825292962,0.0008
fungus-covered fur,within,0.7573729010764509,0.9868422290310264,0.7474075619059799,0.2394346671250465,0.0001000000000000001
fungus-covered fur,within,0.8105081820394844,0.9868422290310264,0.7998437010117296,0.1869985280192967,0.0008
fungus-covered fur,within,0.794367982307449,0.9868422290310264,0.7839158703311618,0.2029263586998645,0.0025999999999999986
fungus-covered fur,within,0.8032846576534212,0.9868422290310264,0.792715222105127,0.19412700692589932,0.0032999999999999987
fungus-covered fur,within,0.6991207869723439,0.9868422290310264,0.6899219157777132,0.29692031325331314,0.0008999999999999997
fungus-covered fur,within,0.6948603421915323,0.9868422290310264,0.6857175289535534,0.30112470007747294,0.0004999999999999998
fungus-covered fur,within,0.7109354713466018,0.9868422290310264,0.701581145240904,0.28526108379012244,0.0014000000000000006
