Property,Theta,Gamma,Delta,Predictive,Probability
dont have beautiful feathers,0.8595049078576267,0.8868613562081009,1.2341833557002246,0.9700569040706395,0.00019999999999999985
dont have beautiful feathers,0.8595049078576267,0.8868613562081009,1.2341833557002246,0,0.0006999999999999997
dont have beautiful feathers,0.8595049078576267,0.8868613562081009,1.2341833557002246,0.9689180869628382,0.0004
dont have beautiful feathers,0.8595049078576267,0.8868613562081009,1.2341833557002246,0.7495221405298645,0.0001000000000000001
dont have beautiful feathers,0.8595049078576267,0.8868613562081009,1.2341833557002246,0.9999630787476355,0.00030000000000000024
dont have beautiful feathers,0.8595049078576267,0.8868613562081009,1.2341833557002246,0.9986125677340877,0.0011999999999999988
dont have beautiful feathers,0.8595049078576267,0.8868613562081009,1.2341833557002246,0.9999908387795922,0.0001000000000000001
dont have beautiful feathers,0.8595049078576267,0.8868613562081009,1.2341833557002246,0.989346340416647,0.00030000000000000024
dont have beautiful feathers,0.8595049078576267,0.8868613562081009,1.2341833557002246,0.9999972565836014,0.0004
dont have beautiful feathers,0.8595049078576267,0.8868613562081009,1.2341833557002246,0.9899304196918404,0.0001000000000000001
dont have beautiful feathers,0.8595049078576267,0.8868613562081009,1.2341833557002246,0.9994466007679231,0.0006999999999999997
dont have beautiful feathers,0.8595049078576267,0.8868613562081009,1.2341833557002246,0.9964044953721468,0.00019999999999999985
dont have beautiful feathers,0.8595049078576267,0.8868613562081009,1.2341833557002246,0.403176419931424,0.0004999999999999998
dont have beautiful feathers,0.8595049078576267,0.8868613562081009,1.2341833557002246,0.9999672800675574,0.0006999999999999997
dont have beautiful feathers,0.8595049078576267,0.8868613562081009,1.2341833557002246,0.7790209378883873,0.0001000000000000001
dont have beautiful feathers,0.8595049078576267,0.8868613562081009,1.2341833557002246,0.9999957672458996,0.0001000000000000001
dont have beautiful feathers,0.8595049078576267,0.8868613562081009,1.2341833557002246,0.7176963339393507,0.0004999999999999998
dont have beautiful feathers,0.8595049078576267,0.8868613562081009,1.2341833557002246,0.30677749433158696,0.00030000000000000024
dont have beautiful feathers,0.8595049078576267,0.8868613562081009,1.2341833557002246,0.9704699178983175,0.0005999999999999994
dont have beautiful feathers,0.8595049078576267,0.8868613562081009,1.2341833557002246,0.9978231769041603,0.0001000000000000001
dont have beautiful feathers,0.8595049078576267,0.8868613562081009,1.2341833557002246,0.5523724645918053,0.0004
dont have beautiful feathers,0.8595049078576267,0.8868613562081009,1.2341833557002246,0.5549476741016667,0.0005999999999999994
dont have beautiful feathers,0.8595049078576267,0.8868613562081009,1.2341833557002246,0.9997437944859965,0.0004
dont have beautiful feathers,0.8595049078576267,0.8868613562081009,1.2341833557002246,0.9896970157540596,0.0001000000000000001
dont have beautiful feathers,0.8595049078576267,0.8868613562081009,1.2341833557002246,0.9676997117402113,0.0009999999999999996
dont have beautiful feathers,0.8595049078576267,0.8868613562081009,1.2341833557002246,0.7557663617100154,0.00030000000000000024
dont have beautiful feathers,0.8595049078576267,0.8868613562081009,1.2341833557002246,0.9272412185626772,0.0008999999999999997
dont have beautiful feathers,0.8595049078576267,0.8868613562081009,1.2341833557002246,0.9999289635474317,0.0006999999999999997
dont have beautiful feathers,0.8595049078576267,0.8868613562081009,1.2341833557002246,0.8515115038162548,0.0004
dont have beautiful feathers,0.8595049078576267,0.8868613562081009,1.2341833557002246,0.7728715740113613,0.0001000000000000001
dont have beautiful feathers,0.8595049078576267,0.8868613562081009,1.2341833557002246,0.9384554747691111,0.0004999999999999998
dont have beautiful feathers,0.8595049078576267,0.8926713967230171,1.2341833557002246,0.9384554747691111,0.0009999999999999996
dont have beautiful feathers,0.8595049078576267,0.8926713967230171,1.2341833557002246,0.9999999999955953,0.0001000000000000001
dont have beautiful feathers,0.8595049078576267,0.8926713967230171,1.2341833557002246,0.9999937125438375,0.0001000000000000001
dont have beautiful feathers,0.8595049078576267,0.8926713967230171,1.2341833557002246,0.9177126112766487,0.0009999999999999996
dont have beautiful feathers,0.8595049078576267,0.8926713967230171,1.2341833557002246,0.9930792119275262,0.0001000000000000001
dont have beautiful feathers,0.8634018909651786,0.8926713967230171,1.2341833557002246,0.9930792119275262,0.0004999999999999998
dont have beautiful feathers,0.8634018909651786,0.8926713967230171,1.2341833557002246,0.9999999999621562,0.0004
dont have beautiful feathers,0.8634018909651786,0.8926713967230171,1.2341833557002246,0.9860790944528961,0.0001000000000000001
dont have beautiful feathers,0.8634018909651786,0.8926713967230171,1.2341833557002246,0.9993132204492461,0.00030000000000000024
dont have beautiful feathers,0.8634018909651786,0.8926713967230171,1.2341833557002246,0.9969318171292101,0.0004999999999999998
dont have beautiful feathers,0.8634018909651786,0.8926713967230171,1.2341833557002246,0.9999996278382824,0.0004
dont have beautiful feathers,0.8634018909651786,0.8926713967230171,1.2341833557002246,0.14969453376922773,0.0004999999999999998
