workerid,rt,trial_type,prevalence,animal,property,property_index,animal_index
3,37.464,priors,50,lions,is male,5,8
3,37.464,priors,50,frogs,is male,5,9
3,50.832,priors,0,Birds,attack swimmers,6,0
3,50.832,priors,0,Lions,attack swimmers,6,1
3,50.832,priors,0,Ducks,attack swimmers,6,2
3,50.832,priors,0,Leopards,attack swimmers,6,3
3,50.832,priors,50,Sharks,attack swimmers,6,4
3,50.832,priors,0,bears,attack swimmers,6,5
3,50.832,priors,0,deers,attack swimmers,6,6
3,50.832,priors,0,fishes,attack swimmers,6,7
3,50.832,priors,0,lions,attack swimmers,6,8
3,50.832,priors,0,frogs,attack swimmers,6,9
3,42.269,priors,0,Birds,carries malaria,7,0
3,42.269,priors,0,Lions,carries malaria,7,1
3,42.269,priors,0,Ducks,carries malaria,7,2
3,42.269,priors,0,Leopards,carries malaria,7,3
3,42.269,priors,0,Sharks,carries malaria,7,4
3,42.269,priors,0,bears,carries malaria,7,5
3,42.269,priors,0,deers,carries malaria,7,6
3,42.269,priors,50,fishes,carries malaria,7,7
3,42.269,priors,0,lions,carries malaria,7,8
3,42.269,priors,0,frogs,carries malaria,7,9
4,26.92,priors,100,Leopards,has spots,0,0
4,26.92,priors,0,Mosquitos,has spots,0,1
4,26.92,priors,50,Birds,has spots,0,2
4,26.92,priors,0,Sharks,has spots,0,3
4,26.92,priors,0,Lions,has spots,0,4
4,26.92,priors,20,dogs,has spots,0,5
4,26.92,priors,20,cats,has spots,0,6
4,26.92,priors,20,pigs,has spots,0,7
4,26.92,priors,100,cows,has spots,0,8
4,26.92,priors,0,chickens,has spots,0,9
4,11.612,priors,0,Leopards,attack swimmers,1,0
4,11.612,priors,100,Mosquitos,attack swimmers,1,1
4,11.612,priors,0,Birds,attack swimmers,1,2
4,11.612,priors,0,Sharks,attack swimmers,1,3
4,11.612,priors,0,Lions,attack swimmers,1,4
4,11.612,priors,0,dogs,attack swimmers,1,5
4,11.612,priors,0,cats,attack swimmers,1,6
4,11.612,priors,0,pigs,attack swimmers,1,7
4,11.612,priors,0,cows,attack swimmers,1,8
4,11.612,priors,0,chickens,attack swimmers,1,9
4,18.418,priors,50,Leopards,is male,2,0
4,18.418,priors,50,Mosquitos,is male,2,1
4,18.418,priors,50,Birds,is male,2,2
4,18.418,priors,50,Sharks,is male,2,3
4,18.418,priors,50,Lions,is male,2,4
4,18.418,priors,50,dogs,is male,2,5
4,18.418,priors,50,cats,is male,2,6
4,18.418,priors,50,pigs,is male,2,7
4,18.418,priors,100,cows,is male,2,8
4,18.418,priors,100,chickens,is male,2,9
4,33.147,priors,0,Leopards,lays eggs,3,0
4,33.147,priors,50,Mosquitos,lays eggs,3,1
4,33.147,priors,50,Birds,lays eggs,3,2
4,33.147,priors,0,Sharks,lays eggs,3,3
4,33.147,priors,0,Lions,lays eggs,3,4
4,33.147,priors,0,dogs,lays eggs,3,5
4,33.147,priors,0,cats,lays eggs,3,6
4,33.147,priors,0,pigs,lays eggs,3,7
4,33.147,priors,0,cows,lays eggs,3,8
4,33.147,priors,50,chickens,lays eggs,3,9
4,13.228,priors,0,Leopards,has manes,4,0
4,13.228,priors,0,Mosquitos,has manes,4,1
4,13.228,priors,0,Birds,has manes,4,2
4,13.228,priors,0,Sharks,has manes,4,3
4,13.228,priors,100,Lions,has manes,4,4
4,13.228,priors,0,dogs,has manes,4,5
4,13.228,priors,0,cats,has manes,4,6
4,13.228,priors,0,pigs,has manes,4,7
4,13.228,priors,0,cows,has manes,4,8
4,13.228,priors,0,chickens,has manes,4,9
4,24.172,priors,50,Leopards,is female,5,0
4,24.172,priors,50,Mosquitos,is female,5,1
4,24.172,priors,50,Birds,is female,5,2
4,24.172,priors,50,Sharks,is female,5,3
4,24.172,priors,50,Lions,is female,5,4
4,24.172,priors,50,dogs,is female,5,5
4,24.172,priors,50,cats,is female,5,6
4,24.172,priors,50,pigs,is female,5,7
4,24.172,priors,100,cows,is female,5,8
4,24.172,priors,100,chickens,is female,5,9
4,9.666,priors,0,Leopards,carries malaria,6,0
4,9.666,priors,10,Mosquitos,carries malaria,6,1
4,9.666,priors,0,Birds,carries malaria,6,2
4,9.666,priors,0,Sharks,carries malaria,6,3
4,9.666,priors,0,Lions,carries malaria,6,4
4,9.666,priors,0,dogs,carries malaria,6,5
4,9.666,priors,0,cats,carries malaria,6,6
4,9.666,priors,0,pigs,carries malaria,6,7
4,9.666,priors,0,cows,carries malaria,6,8
4,9.666,priors,0,chickens,carries malaria,6,9
4,9.198,priors,0,Leopards,has wings,7,0
4,9.198,priors,100,Mosquitos,has wings,7,1
4,9.198,priors,100,Birds,has wings,7,2
4,9.198,priors,0,Sharks,has wings,7,3
4,9.198,priors,0,Lions,has wings,7,4
4,9.198,priors,0,dogs,has wings,7,5
4,9.198,priors,0,cats,has wings,7,6
4,9.198,priors,0,pigs,has wings,7,7
4,9.198,priors,0,cows,has wings,7,8
4,9.198,priors,100,chickens,has wings,7,9
5,107.664,priors,35,Ducks,carries malaria,0,0
5,107.664,priors,8,Leopards,carries malaria,0,1
5,107.664,priors,0,Sharks,carries malaria,0,2
5,107.664,priors,40,Birds,carries malaria,0,3
5,107.664,priors,10,Lions,carries malaria,0,4
5,107.664,priors,0,Dolphins,carries malaria,0,5
5,107.664,priors,25,Swans,carries malaria,0,6
5,107.664,priors,10,Tigers,carries malaria,0,7
5,107.664,priors,10,Jaguars,carries malaria,0,8
5,107.664,priors,10,Eagles,carries malaria,0,9
5,90.541,priors,100,Ducks,has wings,1,0
5,90.541,priors,0,Leopards,has wings,1,1
5,90.541,priors,0,Sharks,has wings,1,2
5,90.541,priors,100,Birds,has wings,1,3
5,90.541,priors,0,Lions,has wings,1,4
5,90.541,priors,0,Dolphins,has wings,1,5
5,90.541,priors,100,Swans,has wings,1,6
5,90.541,priors,0,Tigers,has wings,1,7
5,90.541,priors,0,Jaguars,has wings,1,8
5,90.541,priors,100,Eagles,has wings,1,9
5,159.334,priors,0,Ducks,attack swimmers,2,0
5,159.334,priors,90,Leopards,attack swimmers,2,1
5,159.334,priors,95,Sharks,attack swimmers,2,2
5,159.334,priors,1,Birds,attack swimmers,2,3
5,159.334,priors,95,Lions,attack swimmers,2,4
5,159.334,priors,0,Dolphins,attack swimmers,2,5
5,159.334,priors,25,Swans,attack swimmers,2,6
5,159.334,priors,100,Tigers,attack swimmers,2,7
5,159.334,priors,90,Jaguars,attack swimmers,2,8
5,159.334,priors,0,Eagles,attack swimmers,2,9
5,40.221,priors,0,Ducks,has manes,3,0
5,40.221,priors,0,Leopards,has manes,3,1
5,40.221,priors,0,Sharks,has manes,3,2
5,40.221,priors,5,Birds,has manes,3,3
5,40.221,priors,100,Lions,has manes,3,4
5,40.221,priors,0,Dolphins,has manes,3,5
5,40.221,priors,0,Swans,has manes,3,6
5,40.221,priors,0,Tigers,has manes,3,7
5,40.221,priors,0,Jaguars,has manes,3,8
5,40.221,priors,0,Eagles,has manes,3,9
5,87.697,priors,60,Ducks,is female,4,0
5,87.697,priors,45,Leopards,is female,4,1
5,87.697,priors,60,Sharks,is female,4,2
5,87.697,priors,60,Birds,is female,4,3
5,87.697,priors,70,Lions,is female,4,4
5,87.697,priors,45,Dolphins,is female,4,5
5,87.697,priors,60,Swans,is female,4,6
5,87.697,priors,50,Tigers,is female,4,7
5,87.697,priors,50,Jaguars,is female,4,8
5,87.697,priors,45,Eagles,is female,4,9
5,61.961,priors,100,Ducks,lays eggs,5,0
5,61.961,priors,0,Leopards,lays eggs,5,1
5,61.961,priors,35,Sharks,lays eggs,5,2
5,61.961,priors,100,Birds,lays eggs,5,3
5,61.961,priors,0,Lions,lays eggs,5,4
5,61.961,priors,0,Dolphins,lays eggs,5,5
5,61.961,priors,100,Swans,lays eggs,5,6
5,61.961,priors,0,Tigers,lays eggs,5,7
5,61.961,priors,0,Jaguars,lays eggs,5,8
5,61.961,priors,100,Eagles,lays eggs,5,9
5,113.645,priors,0,Ducks,is male,6,0
5,113.645,priors,0,Leopards,is male,6,1
5,113.645,priors,0,Sharks,is male,6,2
5,113.645,priors,0,Birds,is male,6,3
5,113.645,priors,0,Lions,is male,6,4
5,113.645,priors,0,Dolphins,is male,6,5
5,113.645,priors,0,Swans,is male,6,6
5,113.645,priors,0,Tigers,is male,6,7
5,113.645,priors,0,Jaguars,is male,6,8
5,113.645,priors,0,Eagles,is male,6,9
5,73.272,priors,65,Ducks,has spots,7,0
5,73.272,priors,100,Leopards,has spots,7,1
5,73.272,priors,70,Sharks,has spots,7,2
5,73.272,priors,60,Birds,has spots,7,3
5,73.272,priors,15,Lions,has spots,7,4
5,73.272,priors,10,Dolphins,has spots,7,5
5,73.272,priors,1,Swans,has spots,7,6
5,73.272,priors,35,Tigers,has spots,7,7
5,73.272,priors,100,Jaguars,has spots,7,8
5,73.272,priors,35,Eagles,has spots,7,9
6,16.266,priors,0,Lions,has wings,0,0
6,16.266,priors,99,Ducks,has wings,0,1
6,16.266,priors,100,Mosquitos,has wings,0,2
6,16.266,priors,100,Birds,has wings,0,3
6,16.266,priors,0,Sharks,has wings,0,4
6,16.266,priors,0,Dogs,has wings,0,5
6,16.266,priors,0,Cats,has wings,0,6
6,16.266,priors,0,Frogs,has wings,0,7
6,16.266,priors,0,Monkey,has wings,0,8
6,16.266,priors,0,Horses,has wings,0,9
6,36.038,priors,40,Lions,is male,1,0
6,36.038,priors,50,Ducks,is male,1,1
6,36.038,priors,49,Mosquitos,is male,1,2
6,36.038,priors,45,Birds,is male,1,3
6,36.038,priors,54,Sharks,is male,1,4
