"workerid","rt","trial_type","stim_property","origins","stim_word","stim_kind","stim_proptype","stim_name","stim_prevalence","event_outcome","response"
25,26.803,"predictive_likelihood_bornToday","crests","extrinsic","generic","bird","part","dobles",0,"maintained",0.66
25,53.848,"predictive_likelihood_bornToday","wings","intrinsic","generic","bug","part","taifels",1,"maintained",0.83
26,41.074,"predictive_likelihood_bornToday","tails","extrinsic","generic","bird","part","lorches",1,"maintained",0.04
26,24.721,"predictive_likelihood_bornToday","green","intrinsic","generic","fish","color","dorbs",0,"lost",0.94
26,26.977,"predictive_likelihood_bornToday","wings","intrinsic","generic","bug","part","javs",1,"maintained",0.97
26,24.842,"predictive_likelihood_bornToday","blue","extrinsic","generic","bug","color","morseths",0,"lost",0.03
27,39.843,"predictive_likelihood_bornToday","purple","extrinsic","generic","fish","color","feps",0,"maintained",0.25
27,15.974,"predictive_likelihood_bornToday","red","intrinsic","generic","bird","color","kazzes",1,"lost",0.76
27,23.497,"predictive_likelihood_bornToday","tails","intrinsic","generic","bird","part","glippets",1,"maintained",0.74
27,22.531,"predictive_likelihood_bornToday","fangs","extrinsic","generic","fish","part","blins",0,"lost",0.82
28,66.484,"predictive_likelihood_bornToday","fangs","extrinsic","generic","fish","part","feps",0,"maintained",0.82
28,45.392,"predictive_likelihood_bornToday","wings","intrinsic","generic","bug","part","ackles",0,"maintained",0.92
28,36.453,"predictive_likelihood_bornToday","yellow","extrinsic","generic","bird","color","ollers",1,"lost",0.35
28,28.207,"predictive_likelihood_bornToday","orange","intrinsic","generic","fish","color","moxes",1,"lost",0.89
29,21.707,"predictive_likelihood_bornToday","whiskers","intrinsic","generic","fish","part","ludinos",1,"lost",0.46
29,22.552,"predictive_likelihood_bornToday","fangs","extrinsic","generic","fish","part","ollers",0,"maintained",0.01
29,16.811,"predictive_likelihood_bornToday","yellow","extrinsic","generic","bug","color","javs",0,"lost",0
29,17.458,"predictive_likelihood_bornToday","purple","intrinsic","generic","bug","color","cheebas",1,"maintained",1
30,35.89,"predictive_likelihood_bornToday","wings","intrinsic","generic","bug","part","zorbs",1,"lost",0.66
30,17.824,"predictive_likelihood_bornToday","brown","intrinsic","generic","bird","color","plovs",0,"maintained",0.98
30,19.4,"predictive_likelihood_bornToday","blue","extrinsic","generic","bug","color","dorbs",0,"maintained",0
30,18.263,"predictive_likelihood_bornToday","tails","extrinsic","generic","bird","part","mooks",1,"lost",0
31,31.532,"predictive_likelihood_bornToday","antennae","extrinsic","generic","bug","part","ollers",0,"lost",0
31,20.331,"predictive_likelihood_bornToday","purple","extrinsic","generic","bug","color","javs",1,"maintained",0
31,18.14,"predictive_likelihood_bornToday","orange","intrinsic","generic","fish","color","crullets",1,"lost",0
31,13.988,"predictive_likelihood_bornToday","crests","intrinsic","generic","bird","part","luzaks",0,"maintained",1
32,72.005,"predictive_likelihood_bornToday","crests","extrinsic","generic","bird","part","dorbs",0,"maintained",0.32
32,46.421,"predictive_likelihood_bornToday","brown","intrinsic","generic","bug","color","moxes",1,"lost",0.77
32,27.376,"predictive_likelihood_bornToday","yellow","extrinsic","generic","bug","color","feps",1,"lost",0
32,26.855,"predictive_likelihood_bornToday","tails","intrinsic","generic","bird","part","lorches",0,"maintained",1
33,24.725,"predictive_likelihood_bornToday","whiskers","intrinsic","generic","fish","part","mooks",1,"lost",1
33,20.895,"predictive_likelihood_bornToday","brown","extrinsic","generic","bug","color","moxes",0,"maintained",0
33,9.342,"predictive_likelihood_bornToday","orange","intrinsic","generic","fish","color","plovs",1,"maintained",1
33,19.496,"predictive_likelihood_bornToday","antennae","extrinsic","generic","bug","part","elleps",0,"lost",0
34,46.381,"predictive_likelihood_bornToday","antennae","extrinsic","generic","bug","part","crullets",0,"maintained",1
34,25.239,"predictive_likelihood_bornToday","blue","intrinsic","generic","bird","color","javs",0,"lost",0.51
34,16.214,"predictive_likelihood_bornToday","tails","intrinsic","generic","bird","part","ackles",1,"maintained",1
34,17.514,"predictive_likelihood_bornToday","yellow","extrinsic","generic","fish","color","kweps",1,"lost",0.79
35,34.809,"predictive_likelihood_bornToday","crests","extrinsic","generic","bird","part","feps",1,"maintained",1
35,30.348,"predictive_likelihood_bornToday","wings","intrinsic","generic","bug","part","sapers",0,"lost",0.81
35,16.244,"predictive_likelihood_bornToday","brown","extrinsic","generic","fish","color","morseths",0,"lost",0.06
35,14.479,"predictive_likelihood_bornToday","orange","intrinsic","generic","bird","color","moxes",1,"maintained",1
36,25.466,"predictive_likelihood_bornToday","wings","intrinsic","generic","bug","part","daiths",0,"maintained",0.98
36,19.206,"predictive_likelihood_bornToday","whiskers","extrinsic","generic","fish","part","ollers",1,"maintained",0.84
36,12.208,"predictive_likelihood_bornToday","brown","intrinsic","generic","bird","color","reesles",1,"lost",0.21
36,7.481,"predictive_likelihood_bornToday","green","extrinsic","generic","bird","color","krivels",0,"lost",0.04
37,20.702,"predictive_likelihood_bornToday","wings","intrinsic","generic","bug","part","javs",1,"lost",0.07
37,14.902,"predictive_likelihood_bornToday","purple","intrinsic","generic","fish","color","kweps",0,"maintained",1
37,13.631,"predictive_likelihood_bornToday","crests","extrinsic","generic","bird","part","ollers",1,"lost",0
37,17.04,"predictive_likelihood_bornToday","blue","extrinsic","generic","bug","color","morseths",0,"maintained",0.5
38,64.89,"predictive_likelihood_bornToday","tails","extrinsic","generic","bird","part","kazzes",0,"maintained",0.33
38,52.96,"predictive_likelihood_bornToday","fangs","intrinsic","generic","fish","part","elleps",1,"lost",0.98
38,34.245,"predictive_likelihood_bornToday","brown","intrinsic","generic","fish","color","ludinos",1,"maintained",0.99
38,38.285,"predictive_likelihood_bornToday","black","extrinsic","generic","bug","color","moxes",0,"lost",0.01
39,40.661,"predictive_likelihood_bornToday","crests","intrinsic","generic","bird","part","zoovs",1,"maintained",0.9
39,22.086,"predictive_likelihood_bornToday","antennae","extrinsic","generic","bug","part","feps",0,"lost",0.18
39,10.056,"predictive_likelihood_bornToday","green","intrinsic","generic","fish","color","dobles",1,"lost",0.9
39,11.311,"predictive_likelihood_bornToday","orange","extrinsic","generic","fish","color","zorbs",0,"maintained",0.06
40,24.133,"predictive_likelihood_bornToday","tails","extrinsic","generic","bird","part","daiths",0,"maintained",0.99
40,21.894,"predictive_likelihood_bornToday","wings","intrinsic","generic","bug","part","zorbs",0,"maintained",1
40,17.247,"predictive_likelihood_bornToday","blue","extrinsic","generic","bug","color","trufts",1,"lost",0
40,13.184,"predictive_likelihood_bornToday","green","intrinsic","generic","bird","color","thups",1,"lost",1
41,25.157,"predictive_likelihood_bornToday","fangs","intrinsic","generic","fish","part","stups",0,"maintained",1
41,26.463,"predictive_likelihood_bornToday","crests","extrinsic","generic","bird","part","zoovs",0,"lost",0.03
41,27.175,"predictive_likelihood_bornToday","purple","extrinsic","generic","bug","color","morseths",1,"maintained",0.02
41,20.264,"predictive_likelihood_bornToday","brown","intrinsic","generic","bug","color","taifels",1,"lost",0.88
42,76.791,"predictive_likelihood_bornToday","wings","intrinsic","generic","bug","part","mooks",1,"maintained",1
42,40.172,"predictive_likelihood_bornToday","whiskers","extrinsic","generic","fish","part","daiths",1,"lost",0.19
42,30.461,"predictive_likelihood_bornToday","black","intrinsic","generic","bug","color","moxes",0,"lost",0.98
42,32.255,"predictive_likelihood_bornToday","yellow","extrinsic","generic","bird","color","javs",0,"maintained",0.06
43,43.432,"predictive_likelihood_bornToday","purple","extrinsic","generic","bug","color","ollers",0,"lost",0
43,20.021,"predictive_likelihood_bornToday","brown","intrinsic","generic","fish","color","cheebas",1,"maintained",1
43,22.615,"predictive_likelihood_bornToday","antennae","extrinsic","generic","bug","part","moxes",1,"maintained",0
43,19.222,"predictive_likelihood_bornToday","crests","intrinsic","generic","bird","part","elleps",0,"lost",1
44,51.108,"predictive_likelihood_bornToday","whiskers","extrinsic","generic","fish","part","reesles",0,"lost",0.32
44,41.679,"predictive_likelihood_bornToday","antennae","intrinsic","generic","bug","part","plovs",1,"maintained",1
44,28.245,"predictive_likelihood_bornToday","purple","intrinsic","generic","bug","color","daiths",1,"lost",0.24
44,28.788,"predictive_likelihood_bornToday","black","extrinsic","generic","bird","color","elleps",0,"maintained",0.02
45,29.889,"predictive_likelihood_bornToday","black","intrinsic","generic","bug","color","stups",1,"lost",0.81
45,31.215,"predictive_likelihood_bornToday","whiskers","extrinsic","generic","fish","part","luzaks",0,"maintained",0
45,22,"predictive_likelihood_bornToday","fangs","intrinsic","generic","fish","part","sapers",1,"maintained",1
45,17.066,"predictive_likelihood_bornToday","purple","extrinsic","generic","bird","color","ollers",0,"lost",0
46,32.674,"predictive_likelihood_bornToday","antennae","extrinsic","generic","bug","part","daiths",1,"maintained",0.18
46,20.27,"predictive_likelihood_bornToday","yellow","extrinsic","generic","fish","color","cheebas",0,"lost",0
46,16.882,"predictive_likelihood_bornToday","blue","intrinsic","generic","bird","color","morseths",1,"lost",1
46,19.567,"predictive_likelihood_bornToday","wings","intrinsic","generic","bug","part","feps",0,"maintained",1
47,32.848,"predictive_likelihood_bornToday","crests","intrinsic","generic","bird","part","daiths",1,"lost",0.81
47,14.371,"predictive_likelihood_bornToday","brown","intrinsic","generic","bird","color","dorbs",1,"maintained",1
47,21.589,"predictive_likelihood_bornToday","antennae","extrinsic","generic","bug","part","kazzes",0,"lost",0
47,15.059,"predictive_likelihood_bornToday","black","extrinsic","generic","fish","color","luzaks",0,"maintained",0
48,44.271,"predictive_likelihood_bornToday","wings","extrinsic","generic","bug","part","kweps",1,"lost",0.5
48,25.048,"predictive_likelihood_bornToday","yellow","intrinsic","generic","bird","color","sapers",1,"maintained",1
48,30.37,"predictive_likelihood_bornToday","whiskers","intrinsic","generic","fish","part","stups",0,"lost",0.99
48,29.178,"predictive_likelihood_bornToday","brown","extrinsic","generic","bird","color","frams",0,"maintained",0.02
49,46.952,"predictive_likelihood_bornToday","yellow","intrinsic","generic","fish","color","ollers",0,"maintained",0.96
49,31.927,"predictive_likelihood_bornToday","black","extrinsic","generic","fish","color","sapers",1,"maintained",0.13
49,32.782,"predictive_likelihood_bornToday","tails","extrinsic","generic","bird","part","krivels",0,"lost",0.04
49,30.479,"predictive_likelihood_bornToday","wings","intrinsic","generic","bug","part","reesles",1,"lost",0.7
50,22.932,"predictive_likelihood_bornToday","blue","intrinsic","generic","bird","color","elleps",0,"maintained",0.98
50,20.903,"predictive_likelihood_bornToday","tails","extrinsic","generic","bird","part","glippets",1,"lost",0.02
50,20.917,"predictive_likelihood_bornToday","antennae","intrinsic","generic","bug","part","ollers",0,"lost",0.53
50,25.071,"predictive_likelihood_bornToday","yellow","extrinsic","generic","fish","color","sapers",1,"maintained",0.19
51,17.855,"predictive_likelihood_bornToday","red","extrinsic","generic","bird","color","trufts",1,"lost",0.01
51,14.71,"predictive_likelihood_bornToday","fangs","intrinsic","generic","fish","part","krivels",0,"lost",0.07
51,15.534,"predictive_likelihood_bornToday","antennae","extrinsic","generic","bug","part","kazzes",0,"maintained",0
51,13.58,"predictive_likelihood_bornToday","blue","intrinsic","generic","bird","color","lorches",1,"maintained",1
